instrument,model,horizon,kind,row_index,timestamp,pre_label,post_label,class
gc,LightGBM,60,only_post,701198,2025-10-30T13:31:49.677553129,,1,interior
gc,LightGBM,60,only_post,702088,2025-10-30T13:46:46.677553129,,0,boundary
gc,LightGBM,60,only_post,737691,2025-11-05T17:10:33.379776509,,0,boundary
gc,LightGBM,60,only_post,775279,2025-11-10T13:51:44.348728625,,0,boundary
gc,LightGBM,60,only_post,806780,2025-11-12T16:34:59.646957411,,0,boundary
gc,LightGBM,60,only_post,842089,2025-11-14T21:12:13.351023217,,1,boundary
gc,LightGBM,60,only_post,873203,2025-11-19T15:51:46.000000000,,0,boundary
gc,LightGBM,60,only_post,911583,2025-11-24T13:35:29.753373615,,1,boundary
gc,LightGBM,60,only_post,942586,2025-11-26T19:30:18.105521797,,0,boundary
gc,LightGBM,60,only_post,978729,2025-12-03T16:52:13.196461565,,0,boundary
gc,LightGBM,60,only_post,1015286,2025-12-05T21:41:20.033626701,,1,boundary
gc,LightGBM,60,only_post,1051429,2025-12-10T17:02:41.815472009,,0,boundary
gc,LightGBM,60,only_post,1084670,2025-12-12T20:39:33.014646257,,1,boundary
gc,LightGBM,60,only_post,1115574,2025-12-17T14:25:11.690198079,,1,boundary
gc,LightGBM,60,only_post,1150642,2025-12-19T19:14:07.227975955,,1,boundary
gc,LightGBM,60,only_post,1184207,2025-12-24T13:55:35.176321825,,0,boundary
gc,LightGBM,60,only_post,1217626,2025-12-29T21:09:49.596165539,,1,boundary
gc,XGBoost,5,only_pre,53258,2025-08-12T14:35:08.964227893,1,,boundary
gc,XGBoost,5,only_pre,79944,2025-08-14T20:34:58.526145625,1,,boundary
gc,XGBoost,5,only_pre,124310,2025-08-22T13:38:02.000000000,1,,boundary
gc,XGBoost,5,only_pre,145621,2025-08-25T13:31:46.088506459,0,,interior
gc,XGBoost,5,only_pre,147457,2025-08-26T19:15:24.000000000,0,,boundary
gc,XGBoost,5,only_pre,176941,2025-08-29T15:19:56.122937113,1,,boundary
gc,XGBoost,5,only_pre,192845,2025-09-01T13:00:00.256114953,1,,boundary
gc,XGBoost,5,only_pre,192850,2025-09-02T20:31:59.393128243,0,,boundary
gc,XGBoost,5,only_pre,217349,2025-09-05T16:37:37.047058913,0,,boundary
gc,XGBoost,5,only_pre,249273,2025-09-10T14:37:20.279630421,0,,boundary
gc,XGBoost,5,only_pre,278283,2025-09-12T20:54:21.820982659,1,,boundary
gc,XGBoost,5,only_pre,306410,2025-09-17T17:14:08.000000000,0,,boundary
gc,XGBoost,5,only_pre,333001,2025-09-18T15:05:07.793936649,0,,interior
gc,XGBoost,5,only_pre,333580,2025-09-22T13:34:15.286173371,0,,boundary
gc,XGBoost,5,only_pre,365329,2025-09-24T18:17:48.945301191,0,,boundary
gc,XGBoost,5,only_pre,428269,2025-10-02T18:46:46.332223451,1,,boundary
gc,XGBoost,5,only_pre,487938,2025-10-10T13:54:39.000000000,1,,boundary
gc,XGBoost,5,only_pre,514571,2025-10-13T13:38:09.205204823,0,,interior
gc,XGBoost,5,only_pre,515325,2025-10-14T19:38:21.479286837,0,,boundary
gc,XGBoost,5,only_pre,547916,2025-10-17T17:48:34.266647301,1,,boundary
gc,XGBoost,5,only_pre,580244,2025-10-22T13:41:20.583366001,1,,boundary
gc,XGBoost,5,only_pre,640733,2025-10-29T14:43:13.242935715,1,,boundary
gc,XGBoost,5,only_pre,667639,2025-10-30T13:31:54.677553129,1,,interior
gc,XGBoost,5,only_pre,668505,2025-10-31T20:10:25.805899605,1,,boundary
gc,XGBoost,5,only_pre,670855,2025-11-04T17:33:07.000000000,0,,boundary
gc,XGBoost,5,only_pre,703074,2025-11-06T21:14:08.820196825,0,,boundary
gc,XGBoost,5,only_pre,736844,2025-11-11T17:07:42.577462269,1,,boundary
gc,XGBoost,5,only_pre,767719,2025-11-13T20:24:01.992227093,1,,boundary
gc,XGBoost,5,only_pre,801671,2025-11-18T16:20:44.000000000,0,,boundary
gc,XGBoost,5,only_pre,831428,2025-11-20T20:49:43.941427147,0,,boundary
gc,XGBoost,5,only_pre,867467,2025-11-25T18:09:36.971476095,0,,boundary
gc,XGBoost,5,only_pre,885276,2025-11-28T18:33:11.239501017,0,,boundary
gc,XGBoost,5,only_pre,887550,2025-12-02T17:37:26.335659179,0,,boundary
gc,XGBoost,5,only_pre,919591,2025-12-04T20:22:41.368322585,0,,boundary
gc,XGBoost,5,only_pre,952681,2025-12-09T16:17:09.972990023,1,,boundary
gc,XGBoost,5,only_pre,986828,2025-12-11T20:26:59.743400297,0,,boundary
gc,XGBoost,5,only_pre,1019577,2025-12-16T15:17:39.092966079,1,,boundary
gc,XGBoost,5,only_pre,1049208,2025-12-18T18:33:27.069700673,1,,boundary
gc,XGBoost,5,only_pre,1083245,2025-12-23T13:58:49.545552863,0,,boundary
gc,XGBoost,5,only_pre,1115871,2025-12-26T21:33:55.768526025,1,,boundary
gc,XGBoost,5,only_pre,1149775,2025-12-31T16:48:40.827704005,0,,boundary
gc,XGBoost,5,only_post,1655,2025-08-01T13:29:15.407995871,,1,boundary
gc,XGBoost,5,only_post,26021,2025-08-05T17:58:22.654299487,,1,boundary
gc,XGBoost,5,only_post,53260,2025-08-08T17:34:46.509911973,,1,boundary
gc,XGBoost,5,only_post,79946,2025-08-13T15:10:14.000000000,,1,boundary
gc,XGBoost,5,only_post,124312,2025-08-20T16:06:55.000000000,,0,boundary
gc,XGBoost,5,only_post,145623,2025-08-25T13:31:41.088506459,,0,interior
gc,XGBoost,5,only_post,147459,2025-08-25T14:02:03.088506459,,1,boundary
gc,XGBoost,5,only_post,176943,2025-08-27T18:31:44.000000000,,0,boundary
gc,XGBoost,5,only_post,192851,2025-09-01T13:00:03.580780791,,0,boundary
gc,XGBoost,5,only_post,217350,2025-09-03T19:05:24.247841963,,0,boundary
gc,XGBoost,5,only_post,249274,2025-09-08T17:23:31.267878461,,1,boundary
gc,XGBoost,5,only_post,278284,2025-09-11T14:29:09.800942713,,1,boundary
gc,XGBoost,5,only_post,306411,2025-09-15T20:10:02.720847279,,0,boundary
gc,XGBoost,5,only_post,333002,2025-09-18T15:05:02.793936649,,0,interior
gc,XGBoost,5,only_post,333581,2025-09-18T15:13:57.793936649,,0,boundary
gc,XGBoost,5,only_post,365330,2025-09-23T13:01:38.948514245,,0,boundary
gc,XGBoost,5,only_post,395788,2025-09-25T18:08:35.000000000,,0,boundary
gc,XGBoost,5,only_post,425212,2025-09-30T16:54:32.391442679,,0,boundary
gc,XGBoost,5,only_post,428272,2025-10-01T13:49:06.416874999,,0,boundary
gc,XGBoost,5,only_post,456862,2025-10-03T19:34:16.861275435,,1,boundary
gc,XGBoost,5,only_post,487942,2025-10-08T16:43:43.415525257,,0,boundary
gc,XGBoost,5,only_post,514575,2025-10-13T13:38:04.205204823,,1,interior
gc,XGBoost,5,only_post,515329,2025-10-13T13:51:21.205204823,,0,boundary
gc,XGBoost,5,only_post,547920,2025-10-15T19:54:47.890003513,,0,boundary
gc,XGBoost,5,only_post,580248,2025-10-20T18:25:21.045288267,,0,boundary
gc,XGBoost,5,only_post,610120,2025-10-22T20:41:07.222177379,,1,boundary
gc,XGBoost,5,only_post,640738,2025-10-27T18:05:29.146237249,,0,boundary
gc,XGBoost,5,only_post,667644,2025-10-30T13:31:49.677553129,,1,interior
gc,XGBoost,5,only_post,703077,2025-11-05T17:10:33.379776509,,1,boundary
gc,XGBoost,5,only_post,736847,2025-11-10T13:51:44.348728625,,0,boundary
gc,XGBoost,5,only_post,767722,2025-11-12T16:34:59.646957411,,1,boundary
gc,XGBoost,5,only_post,831430,2025-11-19T15:51:46.000000000,,0,boundary
gc,XGBoost,5,only_post,867468,2025-11-24T13:35:29.753373615,,1,boundary
gc,XGBoost,5,only_post,919591,2025-12-03T16:52:13.196461565,,0,boundary
gc,XGBoost,5,only_post,986827,2025-12-10T17:02:41.815472009,,0,boundary
gc,XGBoost,5,only_post,1019576,2025-12-12T20:39:33.014646257,,1,boundary
gc,XGBoost,5,only_post,1049207,2025-12-17T14:25:11.690198079,,0,boundary
gc,XGBoost,5,only_post,1083244,2025-12-19T19:14:07.227975955,,1,boundary
gc,XGBoost,5,only_post,1149773,2025-12-29T21:09:49.596165539,,1,boundary
gc,XGBoost,10,only_pre,0,2025-08-01T13:00:00.407995871,0,,boundary
gc,XGBoost,10,only_pre,1683,2025-08-04T18:53:41.643047429,1,,boundary
gc,XGBoost,10,only_pre,53193,2025-08-12T14:35:08.964227893,1,,boundary
gc,XGBoost,10,only_pre,125287,2025-08-22T13:38:02.000000000,1,,boundary
gc,XGBoost,10,only_pre,149206,2025-08-25T13:31:46.088506459,0,,interior
gc,XGBoost,10,only_pre,151016,2025-08-26T19:15:24.000000000,0,,boundary
gc,XGBoost,10,only_pre,174337,2025-08-29T15:19:56.122937113,1,,boundary
gc,XGBoost,10,only_pre,191854,2025-09-01T13:00:00.256114953,0,,boundary
gc,XGBoost,10,only_pre,191859,2025-09-02T20:31:59.393128243,0,,boundary
gc,XGBoost,10,only_pre,214473,2025-09-05T16:37:37.047058913,0,,boundary
gc,XGBoost,10,only_pre,270224,2025-09-12T20:54:21.820982659,1,,boundary
gc,XGBoost,10,only_pre,317920,2025-09-18T15:05:07.793936649,1,,interior
gc,XGBoost,10,only_pre,318440,2025-09-22T13:34:15.286173371,0,,boundary
gc,XGBoost,10,only_pre,342948,2025-09-24T18:17:48.945301191,0,,boundary
gc,XGBoost,10,only_pre,369705,2025-09-29T16:12:06.067410145,1,,boundary
gc,XGBoost,10,only_pre,398215,2025-10-01T13:00:00.416874999,1,,boundary
gc,XGBoost,10,only_pre,401156,2025-10-02T18:46:46.332223451,1,,boundary
gc,XGBoost,10,only_pre,429778,2025-10-07T16:19:15.032384765,1,,boundary
gc,XGBoost,10,only_pre,458326,2025-10-10T13:54:39.000000000,1,,boundary
gc,XGBoost,10,only_pre,485467,2025-10-13T13:38:09.205204823,0,,interior
gc,XGBoost,10,only_pre,486248,2025-10-14T19:38:21.479286837,1,,boundary
gc,XGBoost,10,only_pre,515843,2025-10-17T17:48:34.266647301,1,,boundary
gc,XGBoost,10,only_pre,546609,2025-10-22T13:41:20.583366001,1,,boundary
gc,XGBoost,10,only_pre,573242,2025-10-24T18:35:46.000000000,1,,boundary
gc,XGBoost,10,only_pre,601382,2025-10-29T14:43:13.242935715,1,,boundary
gc,XGBoost,10,only_pre,626385,2025-10-30T13:31:54.677553129,1,,interior
gc,XGBoost,10,only_pre,627269,2025-10-31T20:10:25.805899605,1,,boundary
gc,XGBoost,10,only_pre,629897,2025-11-04T17:33:07.000000000,0,,boundary
gc,XGBoost,10,only_pre,660520,2025-11-06T21:14:08.820196825,0,,boundary
gc,XGBoost,10,only_pre,696099,2025-11-11T17:07:42.577462269,0,,boundary
gc,XGBoost,10,only_pre,725110,2025-11-13T20:24:01.992227093,0,,boundary
gc,XGBoost,10,only_pre,759180,2025-11-18T16:20:44.000000000,0,,boundary
gc,XGBoost,10,only_pre,825351,2025-11-25T18:09:36.971476095,0,,boundary
gc,XGBoost,10,only_pre,847327,2025-11-28T18:33:11.239501017,0,,boundary
gc,XGBoost,10,only_pre,850363,2025-12-02T17:37:26.335659179,0,,boundary
gc,XGBoost,10,only_pre,879937,2025-12-04T20:22:41.368322585,1,,boundary
gc,XGBoost,10,only_pre,914310,2025-12-09T16:17:09.972990023,0,,boundary
gc,XGBoost,10,only_pre,947370,2025-12-11T20:26:59.743400297,1,,boundary
gc,XGBoost,10,only_pre,978985,2025-12-16T15:17:39.092966079,1,,boundary
gc,XGBoost,10,only_pre,1007266,2025-12-18T18:33:27.069700673,1,,boundary
gc,XGBoost,10,only_pre,1039806,2025-12-23T13:58:49.545552863,0,,boundary
gc,XGBoost,10,only_pre,1072204,2025-12-26T21:33:55.768526025,1,,boundary
gc,XGBoost,10,only_pre,1104393,2025-12-31T16:48:40.827704005,1,,boundary
gc,XGBoost,10,only_post,1682,2025-08-01T13:29:15.407995871,,1,boundary
gc,XGBoost,10,only_post,24199,2025-08-05T17:58:22.654299487,,1,boundary
gc,XGBoost,10,only_post,53193,2025-08-08T17:34:46.509911973,,1,boundary
gc,XGBoost,10,only_post,80535,2025-08-13T15:10:14.000000000,,1,boundary
gc,XGBoost,10,only_post,104446,2025-08-17T21:19:05.725113995,,1,boundary
gc,XGBoost,10,only_post,125289,2025-08-20T16:06:55.000000000,,0,boundary
gc,XGBoost,10,only_post,149208,2025-08-25T13:31:41.088506459,,0,interior
gc,XGBoost,10,only_post,151018,2025-08-25T14:02:03.088506459,,1,boundary
gc,XGBoost,10,only_post,174339,2025-08-27T18:31:44.000000000,,0,boundary
gc,XGBoost,10,only_post,191860,2025-09-01T13:00:03.580780791,,0,boundary
gc,XGBoost,10,only_post,214474,2025-09-03T19:05:24.247841963,,0,boundary
gc,XGBoost,10,only_post,244696,2025-09-08T17:23:31.267878461,,0,boundary
gc,XGBoost,10,only_post,295982,2025-09-15T20:10:02.720847279,,1,boundary
gc,XGBoost,10,only_post,317922,2025-09-18T15:05:02.793936649,,0,interior
gc,XGBoost,10,only_post,318442,2025-09-18T15:13:57.793936649,,1,boundary
gc,XGBoost,10,only_post,342950,2025-09-23T13:01:38.948514245,,0,boundary
gc,XGBoost,10,only_post,369707,2025-09-25T18:08:35.000000000,,0,boundary
gc,XGBoost,10,only_post,401157,2025-10-01T13:49:06.416874999,,0,boundary
gc,XGBoost,10,only_post,429779,2025-10-03T19:34:16.861275435,,1,boundary
gc,XGBoost,10,only_post,458327,2025-10-08T16:43:43.415525257,,0,boundary
gc,XGBoost,10,only_post,485468,2025-10-13T13:38:04.205204823,,0,interior
gc,XGBoost,10,only_post,486249,2025-10-13T13:51:21.205204823,,1,boundary
gc,XGBoost,10,only_post,515844,2025-10-15T19:54:47.890003513,,0,boundary
gc,XGBoost,10,only_post,546610,2025-10-20T18:25:21.045288267,,0,boundary
gc,XGBoost,10,only_post,573243,2025-10-22T20:41:07.222177379,,1,boundary
gc,XGBoost,10,only_post,601383,2025-10-27T18:05:29.146237249,,1,boundary
gc,XGBoost,10,only_post,626386,2025-10-30T13:31:49.677553129,,1,interior
gc,XGBoost,10,only_post,627270,2025-10-30T13:46:46.677553129,,0,boundary
gc,XGBoost,10,only_post,660520,2025-11-05T17:10:33.379776509,,1,boundary
gc,XGBoost,10,only_post,725109,2025-11-12T16:34:59.646957411,,1,boundary
gc,XGBoost,10,only_post,759179,2025-11-14T21:12:13.351023217,,1,boundary
gc,XGBoost,10,only_post,788587,2025-11-19T15:51:46.000000000,,0,boundary
gc,XGBoost,10,only_post,879934,2025-12-03T16:52:13.196461565,,1,boundary
gc,XGBoost,10,only_post,914307,2025-12-05T21:41:20.033626701,,0,boundary
gc,XGBoost,10,only_post,947367,2025-12-10T17:02:41.815472009,,0,boundary
gc,XGBoost,10,only_post,978982,2025-12-12T20:39:33.014646257,,1,boundary
gc,XGBoost,10,only_post,1007263,2025-12-17T14:25:11.690198079,,0,boundary
gc,XGBoost,10,only_post,1039803,2025-12-19T19:14:07.227975955,,1,boundary
gc,XGBoost,10,only_post,1072201,2025-12-24T13:55:35.176321825,,1,boundary
gc,XGBoost,10,only_post,1104390,2025-12-29T21:09:49.596165539,,1,boundary
gc,XGBoost,30,only_pre,0,2025-08-01T13:00:00.407995871,1,,boundary
gc,XGBoost,30,only_pre,1721,2025-08-04T18:53:41.643047429,1,,boundary
gc,XGBoost,30,only_pre,26908,2025-08-07T16:32:16.921861077,1,,boundary
gc,XGBoost,30,only_pre,57735,2025-08-12T14:35:08.964227893,0,,boundary
gc,XGBoost,30,only_pre,114978,2025-08-19T17:08:51.056211205,1,,boundary
gc,XGBoost,30,only_pre,139071,2025-08-22T13:38:02.000000000,1,,boundary
gc,XGBoost,30,only_pre,165224,2025-08-25T13:31:46.088506459,1,,interior
gc,XGBoost,30,only_pre,167140,2025-08-26T19:15:24.000000000,0,,boundary
gc,XGBoost,30,only_pre,193628,2025-08-29T15:19:56.122937113,1,,boundary
gc,XGBoost,30,only_pre,212479,2025-09-01T13:00:00.256114953,0,,boundary
gc,XGBoost,30,only_pre,212484,2025-09-02T20:31:59.393128243,0,,boundary
gc,XGBoost,30,only_pre,236458,2025-09-05T16:37:37.047058913,0,,boundary
gc,XGBoost,30,only_pre,268853,2025-09-10T14:37:20.279630421,1,,boundary
gc,XGBoost,30,only_pre,297287,2025-09-12T20:54:21.820982659,0,,boundary
gc,XGBoost,30,only_pre,324686,2025-09-17T17:14:08.000000000,1,,boundary
gc,XGBoost,30,only_pre,347437,2025-09-18T15:05:07.793936649,1,,interior
gc,XGBoost,30,only_pre,348002,2025-09-22T13:34:15.286173371,0,,boundary
gc,XGBoost,30,only_pre,375487,2025-09-24T18:17:48.945301191,0,,boundary
gc,XGBoost,30,only_pre,404779,2025-09-29T16:12:06.067410145,1,,boundary
gc,XGBoost,30,only_pre,435238,2025-10-01T13:00:00.416874999,1,,boundary
gc,XGBoost,30,only_pre,468767,2025-10-07T16:19:15.032384765,1,,boundary
gc,XGBoost,30,only_pre,499510,2025-10-10T13:54:39.000000000,1,,boundary
gc,XGBoost,30,only_pre,527138,2025-10-13T13:38:09.205204823,0,,interior
gc,XGBoost,30,only_pre,527925,2025-10-14T19:38:21.479286837,1,,boundary
gc,XGBoost,30,only_pre,558872,2025-10-17T17:48:34.266647301,1,,boundary
gc,XGBoost,30,only_pre,590426,2025-10-22T13:41:20.583366001,1,,boundary
gc,XGBoost,30,only_pre,617434,2025-10-24T18:35:46.000000000,1,,boundary
gc,XGBoost,30,only_pre,646373,2025-10-29T14:43:13.242935715,1,,boundary
gc,XGBoost,30,only_pre,671895,2025-10-30T13:31:54.677553129,1,,interior
gc,XGBoost,30,only_pre,672785,2025-10-31T20:10:25.805899605,1,,boundary
gc,XGBoost,30,only_pre,675628,2025-11-04T17:33:07.000000000,0,,boundary
gc,XGBoost,30,only_pre,707373,2025-11-06T21:14:08.820196825,1,,boundary
gc,XGBoost,30,only_pre,744356,2025-11-11T17:07:42.577462269,1,,boundary
gc,XGBoost,30,only_pre,774776,2025-11-13T20:24:01.992227093,1,,boundary
gc,XGBoost,30,only_pre,809697,2025-11-18T16:20:44.000000000,1,,boundary
gc,XGBoost,30,only_pre,878253,2025-11-25T18:09:36.971476095,0,,boundary
gc,XGBoost,30,only_pre,906199,2025-11-28T18:33:11.239501017,0,,boundary
gc,XGBoost,30,only_pre,909992,2025-12-02T17:37:26.335659179,0,,boundary
gc,XGBoost,30,only_pre,941002,2025-12-04T20:22:41.368322585,1,,boundary
gc,XGBoost,30,only_pre,976970,2025-12-09T16:17:09.972990023,0,,boundary
gc,XGBoost,30,only_pre,1011981,2025-12-11T20:26:59.743400297,1,,boundary
gc,XGBoost,30,only_pre,1044656,2025-12-16T15:17:39.092966079,0,,boundary
gc,XGBoost,30,only_pre,1074509,2025-12-18T18:33:27.069700673,0,,boundary
gc,XGBoost,30,only_pre,1108745,2025-12-23T13:58:49.545552863,0,,boundary
gc,XGBoost,30,only_pre,1142419,2025-12-26T21:33:55.768526025,1,,boundary
gc,XGBoost,30,only_pre,1174804,2025-12-31T16:48:40.827704005,1,,boundary
gc,XGBoost,30,only_post,1720,2025-08-01T13:29:15.407995871,,0,boundary
gc,XGBoost,30,only_post,26907,2025-08-05T17:58:22.654299487,,1,boundary
gc,XGBoost,30,only_post,57734,2025-08-08T17:34:46.509911973,,1,boundary
gc,XGBoost,30,only_post,87696,2025-08-13T15:10:14.000000000,,1,boundary
gc,XGBoost,30,only_post,114978,2025-08-17T21:19:05.725113995,,0,boundary
gc,XGBoost,30,only_post,139071,2025-08-20T16:06:55.000000000,,0,boundary
gc,XGBoost,30,only_post,165224,2025-08-25T13:31:41.088506459,,0,interior
gc,XGBoost,30,only_post,167140,2025-08-25T14:02:03.088506459,,1,boundary
gc,XGBoost,30,only_post,193628,2025-08-27T18:31:44.000000000,,0,boundary
gc,XGBoost,30,only_post,212483,2025-09-01T13:00:03.580780791,,0,boundary
gc,XGBoost,30,only_post,236457,2025-09-03T19:05:24.247841963,,1,boundary
gc,XGBoost,30,only_post,268852,2025-09-08T17:23:31.267878461,,1,boundary
gc,XGBoost,30,only_post,324684,2025-09-15T20:10:02.720847279,,1,boundary
gc,XGBoost,30,only_post,347435,2025-09-18T15:05:02.793936649,,1,interior
gc,XGBoost,30,only_post,348000,2025-09-18T15:13:57.793936649,,1,boundary
gc,XGBoost,30,only_post,375485,2025-09-23T13:01:38.948514245,,0,boundary
gc,XGBoost,30,only_post,404777,2025-09-25T18:08:35.000000000,,0,boundary
gc,XGBoost,30,only_post,435236,2025-09-30T16:54:32.391442679,,0,boundary
gc,XGBoost,30,only_post,438257,2025-10-01T13:49:06.416874999,,0,boundary
gc,XGBoost,30,only_post,468766,2025-10-03T19:34:16.861275435,,1,boundary
gc,XGBoost,30,only_post,499509,2025-10-08T16:43:43.415525257,,0,boundary
gc,XGBoost,30,only_post,527137,2025-10-13T13:38:04.205204823,,0,interior
gc,XGBoost,30,only_post,558870,2025-10-15T19:54:47.890003513,,0,boundary
gc,XGBoost,30,only_post,590424,2025-10-20T18:25:21.045288267,,0,boundary
gc,XGBoost,30,only_post,617432,2025-10-22T20:41:07.222177379,,1,boundary
gc,XGBoost,30,only_post,646371,2025-10-27T18:05:29.146237249,,1,boundary
gc,XGBoost,30,only_post,671893,2025-10-30T13:31:49.677553129,,1,interior
gc,XGBoost,30,only_post,672783,2025-10-30T13:46:46.677553129,,0,boundary
gc,XGBoost,30,only_post,707370,2025-11-05T17:10:33.379776509,,0,boundary
gc,XGBoost,30,only_post,744353,2025-11-10T13:51:44.348728625,,1,boundary
gc,XGBoost,30,only_post,774773,2025-11-12T16:34:59.646957411,,0,boundary
gc,XGBoost,30,only_post,809694,2025-11-14T21:12:13.351023217,,1,boundary
gc,XGBoost,30,only_post,840203,2025-11-19T15:51:46.000000000,,1,boundary
gc,XGBoost,30,only_post,878250,2025-11-24T13:35:29.753373615,,1,boundary
gc,XGBoost,30,only_post,906197,2025-11-26T19:30:18.105521797,,0,boundary
gc,XGBoost,30,only_post,940999,2025-12-03T16:52:13.196461565,,0,boundary
gc,XGBoost,30,only_post,976967,2025-12-05T21:41:20.033626701,,0,boundary
gc,XGBoost,30,only_post,1011978,2025-12-10T17:02:41.815472009,,0,boundary
gc,XGBoost,30,only_post,1044653,2025-12-12T20:39:33.014646257,,1,boundary
gc,XGBoost,30,only_post,1074506,2025-12-17T14:25:11.690198079,,0,boundary
gc,XGBoost,30,only_post,1108742,2025-12-19T19:14:07.227975955,,1,boundary
gc,XGBoost,30,only_post,1142416,2025-12-24T13:55:35.176321825,,0,boundary
gc,XGBoost,30,only_post,1174801,2025-12-29T21:09:49.596165539,,1,boundary
gc,XGBoost,60,only_pre,0,2025-08-01T13:00:00.407995871,1,,boundary
gc,XGBoost,60,only_pre,1721,2025-08-04T18:53:41.643047429,1,,boundary
gc,XGBoost,60,only_pre,28510,2025-08-07T16:32:16.921861077,1,,boundary
gc,XGBoost,60,only_pre,60261,2025-08-12T14:35:08.964227893,0,,boundary
gc,XGBoost,60,only_pre,119889,2025-08-19T17:08:51.056211205,1,,boundary
gc,XGBoost,60,only_pre,145557,2025-08-22T13:38:02.000000000,1,,boundary
gc,XGBoost,60,only_pre,172506,2025-08-25T13:31:46.088506459,0,,interior
gc,XGBoost,60,only_pre,174403,2025-08-26T19:15:24.000000000,0,,boundary
gc,XGBoost,60,only_pre,203123,2025-08-29T15:19:56.122937113,1,,boundary
gc,XGBoost,60,only_pre,222485,2025-09-01T13:00:00.256114953,0,,boundary
gc,XGBoost,60,only_pre,222490,2025-09-02T20:31:59.393128243,0,,boundary
gc,XGBoost,60,only_pre,247642,2025-09-05T16:37:37.047058913,1,,boundary
gc,XGBoost,60,only_pre,281338,2025-09-10T14:37:20.279630421,1,,boundary
gc,XGBoost,60,only_pre,311622,2025-09-12T20:54:21.820982659,0,,boundary
gc,XGBoost,60,only_pre,364586,2025-09-18T15:05:07.793936649,1,,interior
gc,XGBoost,60,only_pre,365188,2025-09-22T13:34:15.286173371,0,,boundary
gc,XGBoost,60,only_pre,394736,2025-09-24T18:17:48.945301191,1,,boundary
gc,XGBoost,60,only_pre,425705,2025-09-29T16:12:06.067410145,1,,boundary
gc,XGBoost,60,only_pre,457244,2025-10-01T13:00:00.416874999,0,,boundary
gc,XGBoost,60,only_pre,460338,2025-10-02T18:46:46.332223451,1,,boundary
gc,XGBoost,60,only_pre,491677,2025-10-07T16:19:15.032384765,1,,boundary
gc,XGBoost,60,only_pre,523704,2025-10-10T13:54:39.000000000,1,,boundary
gc,XGBoost,60,only_pre,551591,2025-10-13T13:38:09.205204823,1,,interior
gc,XGBoost,60,only_pre,552376,2025-10-14T19:38:21.479286837,0,,boundary
gc,XGBoost,60,only_pre,584440,2025-10-17T17:48:34.266647301,1,,boundary
gc,XGBoost,60,only_pre,616788,2025-10-22T13:41:20.583366001,1,,boundary
gc,XGBoost,60,only_pre,644780,2025-10-24T18:35:46.000000000,1,,boundary
gc,XGBoost,60,only_pre,674775,2025-10-29T14:43:13.242935715,1,,boundary
gc,XGBoost,60,only_pre,701199,2025-10-30T13:31:54.677553129,1,,interior
gc,XGBoost,60,only_pre,702089,2025-10-31T20:10:25.805899605,1,,boundary
gc,XGBoost,60,only_pre,704948,2025-11-04T17:33:07.000000000,1,,boundary
gc,XGBoost,60,only_pre,737693,2025-11-06T21:14:08.820196825,1,,boundary
gc,XGBoost,60,only_pre,775281,2025-11-11T17:07:42.577462269,0,,boundary
gc,XGBoost,60,only_pre,806782,2025-11-13T20:24:01.992227093,1,,boundary
gc,XGBoost,60,only_pre,842091,2025-11-18T16:20:44.000000000,0,,boundary
gc,XGBoost,60,only_pre,911585,2025-11-25T18:09:36.971476095,0,,boundary
gc,XGBoost,60,only_pre,942587,2025-11-28T18:33:11.239501017,0,,boundary
gc,XGBoost,60,only_pre,946616,2025-12-02T17:37:26.335659179,0,,boundary
gc,XGBoost,60,only_pre,978731,2025-12-04T20:22:41.368322585,0,,boundary
gc,XGBoost,60,only_pre,1015288,2025-12-09T16:17:09.972990023,0,,boundary
gc,XGBoost,60,only_pre,1051431,2025-12-11T20:26:59.743400297,1,,boundary
gc,XGBoost,60,only_pre,1084672,2025-12-16T15:17:39.092966079,0,,boundary
gc,XGBoost,60,only_pre,1115576,2025-12-18T18:33:27.069700673,0,,boundary
gc,XGBoost,60,only_pre,1150644,2025-12-23T13:58:49.545552863,0,,boundary
gc,XGBoost,60,only_pre,1184209,2025-12-26T21:33:55.768526025,1,,boundary
gc,XGBoost,60,only_pre,1217628,2025-12-31T16:48:40.827704005,1,,boundary
gc,XGBoost,60,only_post,1720,2025-08-01T13:29:15.407995871,,0,boundary
gc,XGBoost,60,only_post,28509,2025-08-05T17:58:22.654299487,,0,boundary
gc,XGBoost,60,only_post,60260,2025-08-08T17:34:46.509911973,,1,boundary
gc,XGBoost,60,only_post,91468,2025-08-13T15:10:14.000000000,,0,boundary
gc,XGBoost,60,only_post,119889,2025-08-17T21:19:05.725113995,,0,boundary
gc,XGBoost,60,only_post,145557,2025-08-20T16:06:55.000000000,,1,boundary
gc,XGBoost,60,only_post,172506,2025-08-25T13:31:41.088506459,,0,interior
gc,XGBoost,60,only_post,174403,2025-08-25T14:02:03.088506459,,1,boundary
gc,XGBoost,60,only_post,203123,2025-08-27T18:31:44.000000000,,0,boundary
gc,XGBoost,60,only_post,222489,2025-09-01T13:00:03.580780791,,0,boundary
gc,XGBoost,60,only_post,247641,2025-09-03T19:05:24.247841963,,1,boundary
gc,XGBoost,60,only_post,281337,2025-09-08T17:23:31.267878461,,1,boundary
gc,XGBoost,60,only_post,340462,2025-09-15T20:10:02.720847279,,0,boundary
